booking_id,booking_date,travel_date,customer_id,cust_segment,tour_type,channel,payment_method,destination,pax,base_price_vnd,discount_rate,booking_status,revenue_vnd,satisfaction,is_returning
B00001,2024-06-28,2024-07-31,C0088,Young Professional,Cultural,Website,Card,Huế,1,1826000.0,0.046,Completed,1742000.0,4.4,False
B00002,2025-02-12,2025-05-05,C0088,Young Professional,Adventure,Website,Card,Phú Quốc,1,6756000.0,0.22,Completed,5270000.0,4.0,True
B00003,2025-07-20,2025-09-28,C0377,Corporate,Cultural,Website,Card,TP.HCM,4,2098000.0,0.037,Completed,8081000.0,4.7,True
B00004,2024-01-23,2024-04-02,C0218,Student,Beach,Mobile App,Card,HaLongg,4,4277000.0,0.103,Completed,15346000.0,4.3,True
B00005,2024-01-04,2024-02-05,C0307,Young Professional,City Break,Website,Cash,,1,1933000.0,0.248,Completed,1454000.0,4.3,False
B00006,2024-01-04,2024-04-03,C0341,Student,Cultural,Website,Card,Huế,3,2393000.0,0.144,Completed,6145000.0,4.1,False
B00007,2024-04-07,2024-05-23,C0323,Young Professional,Family,Call Center,Bank Transfer,Huế,2,2807000.0,0.098,Completed,5064000.0,5.0,True
B00008,2024-02-02,2024-03-26,C0038,Young Professional,Beach,Agent,E-wallet,Đà Lạt,1,3126000.0,0.111,Completed,2779000.0,3.8,False
B00009,2025-05-25,2025-08-03,C0059,Student,Beach,Website,Card,Đà Lạt,1,4503000.0,0.077,Completed,4156000.0,4.0,True
B00010,2025-01-12,2025-03-16,C0166,Young Professional,Family,Website,Card,Nha Trang,3,3768000.0,0.222,Completed,8795000.0,3.6,True
B00011,2025-09-02,2025-09-25,C0143,Corporate,Cultural,Mobile App,Bank Transfer,Đà Nẵng,1,1918000.0,0.088,Completed,1749000.0,4.6,True
B00012,2025-05-14,2025-06-17,C0314,Young Professional,Family,Agent,E-wallet,Huế,3,2330000.0,0.03,Completed,6780000.0,3.9,True
B00013,2025-08-23,2025-10-01,C0066,Family,Beach,Agent,Bank Transfer,Đà Nẵng,1,5829000.0,0.037,Cancelled,0.0,,True
B00014,2024-05-28,2024-08-22,C0157,Young Professional,Foodie,Website,Card,Đà Lạt,2,1543000.0,0.064,Completed,2888000.0,3.9,False
B00015,2024-06-28,2024-09-03,C0100,Corporate,Family,Website,Card,Nha Trang,4,2735000.0,0.036,Completed,10546000.0,4.2,False
B00016,2025-06-13,2025-07-22,C0080,Family,City Break,Website,Card,TP.HCM,2,2956000.0,0.041,Completed,5670000.0,3.6,True
B00017,2024-06-01,2024-08-09,C0073,Corporate,Beach,Agent,Bank Transfer,Đà Lạt,1,3089000.0,0.024,Completed,3015000.0,3.1,True
B00018,2024-02-05,2024-04-14,C0083,Family,Cultural,Agent,Cash,Hạ Long,2,2175000.0,0.184,Completed,3550000.0,4.4,False
B00019,2025-02-20,2025-04-02,C0238,Family,bech,Website,Card,TP.HCM,1,2612000.0,0.089,Completed,2380000.0,3.1,True
B00020,2025-05-14,2025-06-25,C0173,Young Professional,Adventure,Mobile App,Cash,Hội An,2,3680000.0,0.076,Completed,6801000.0,4.6,True
B00021,2025-08-26,2025-11-16,C0183,Young Professional,Cultural,Website,Card,Đà Lạt,2,1694000.0,0.024,Completed,3307000.0,5.0,True
B00022,2025-08-01,2025-09-25,C0202,Corporate,Beach,Mobile App,Cash,TP.HCM,1,2548000.0,0.128,Completed,2222000.0,4.1,True
B00023,2024-03-15,2024-04-06,C0312,Young Professional,Cultural,Agent,Card,Hà Nội,1,1665000.0,0.048,Completed,1585000.0,4.8,False
B00024,2025-04-26,2025-07-03,C0362,Student,Cultural,Mobile App,Cash,Đà Nẵng,3,2667000.0,0.043,Completed,7657000.0,4.2,True
B00025,2025-06-11,2025-08-07,C0222,Young Professional,Cultural,Website,Bank Transfer,Hà Nội,3,2594000.0,0.148,Completed,6630000.0,5.0,True
B00026,2025-03-10,2025-04-30,C0270,Student,Beach,Mobile App,Cash,Đà Lạt,2,4387000.0,0.176,Completed,7230000.0,4.0,True
B00027,2025-05-25,2025-08-01,C0311,Young Professional,Cultural,Website,Card,Sa Pa,4,2143000.0,0.055,Completed,8101000.0,3.0,True
B00028,2025-06-06,2025-08-28,C0290,Student,Family,Agent,Bank Transfer,Phú Quốc,5,4109000.0,0.188,Completed,16683000.0,4.2,True
B00029,2024-10-05,2024-11-10,C0057,Young Professional,Cultural,Website,Bank Transfer,Huế,1,2326000.0,0.065,Completed,2175000.0,5.0,True
B00030,2024-01-26,2024-03-09,C0413,Student,Cultural,Agent,Card,Nha Trang,2,3227000.0,0.19,Completed,5228000.0,4.5,False
B00031,2024-10-11,2024-11-05,C0070,Young Professional,Adventure,Website,Card,Phú Quốc,1,4307000.0,0.028,Completed,4186000.0,3.9,True
B00032,2024-05-05,2024-07-06,C0173,Young Professional,Family,Website,Cash,Phú Quốc,3,3607000.0,0.05,Completed,10280000.0,4.4,True
B00033,2024-03-11,2024-04-22,C0275,Family,bech,Website,Card,Đà Nẵng,1,3672000.0,0.039,Completed,3529000.0,4.7,True
B00034,2024-03-18,2024-04-24,C0170,Corporate,Adventure,Website,Card,Đà Nẵng,3,6908000.0,0.135,Completed,17926000.0,4.2,True
